ContentId,Content
60865a58-c232-4f71-b17d-e8975d6fe427,제품
UNMATCHED_e33e6df7-16b2-4294-ae01-2711a6d8770a,[KHÔNG TÌM THẤY MATCH CHO: Features]
UNMATCHED_2dfe09e8-d261-4e54-944e-634b933db264,[KHÔNG TÌM THẤY MATCH CHO: Marketplace]
e33e6df7-16b2-4294-ae01-2711a6d8770a,특징
2dfe09e8-d261-4e54-944e-634b933db264,시장
a217e5aa-ccdd-422d-82ba-2a4960b2b51d,Teamcenter PLM
da662414-06c1-4422-9f26-6d2cbdeb2db7,Polarion ALM
825e4de2-3d91-4e3a-83b3-4c77242599bd,Designcenter - NX
533bc953-cf97-479c-a539-fd35283fca36,"<span class="" px-5 py-2 pr-1  flex items-center text-white bg-secondary-contrast"">라이프사이클 관리<span class=""mat-icon text-2xl text-transparent group-hover:text-current"">expand_less</span></span>"
UNMATCHED_825e4de2-3d91-4e3a-83b3-4c77242599bd,[KHÔNG TÌM THẤY MATCH CHO: Designcenter - NX]
